IDSAP,MC_STORE_ID,IDwws,Name,URL,ADDRESS,ZIP,PHONE,WHATS,FAX,MAIL,LAT,LONG,OPENDAYS,CLOSEDDAYS,SPECIALDAYS
E270,96452,296,Badajoz - Badajoz,http://specials.mediamarkt.es/tiendas/badajoz,"Avda de Elvas S/N, Esquina C/ Santiago Soutullo S/N",06006,924209000,,924209009,mm.badajoz.atencionalcliente@mediamarkt.es,38.883484,-7.019902,"24 de Marzo; 2 de Mayo; 3 de Julio; 15 de Agosto; 4, 8, 11, 18 y 26 de Diciembre.",Domingos; 6 de Enero; 9 de Febrero; 25 de Marzo; 24 de Junio; 8 de Septiembre; 12 de Octubre; 1 de Noviembre; 25 de Diciembre.,
E268,28389,282,Barcelona - CornellÃ  - El Prat,http://specials.mediamarkt.es/tiendas/el-prat,"C.C. SPLAU - Plana del Galet, 1",08820,933743800,,933743809,mmprl1-atencion@mediamarkt.es,41.346986, 2.076698," 3, 10 de Enero; 3 de Julio; 15 de Agosto; 24 de septiembre; 4, 6, 8, 11 y 18 de Diciembre.",Domingos (menos los indicados); 1 y 6 de Enero; 25 y 28 de Marzo; 16 y 27 de Mayo; 24 de Junio; 12 de Octubre; 1 de Noviembre; 26 de Diciembre.,
E521,171052,1450,Barcelona - Diagonal Digital Store,http://specials.mediamarkt.es/tiendas/barceloan-digital-store,Av. Diagonal 477,08036,933553280,,,mm.diagonalfrancescmacia.atc@mediamarkt.es,41.392719,2.145809,"15 de Agosto; 1 de Noviembre; 4, 6, 8, 11, 18, 24 de Diciembre.","Todos los domingos (salvo los indicados en horarios especiales). Cerrado el 24 de Septiembre, 12 de Octubre y 26 de Diciembre.",2 y 9 de Octubre: horario de 12:00h a 20:00h. 31 de Diciembre: horario de 9:30h  a 20:00h.
E272,28390,233,Barcelona - Diagonal Mar,http://specials.mediamarkt.es/tiendas/diagonal-mar,"C.C. Diagonal Mar - Av. Diagonal, 3",08019,934857200,,934857209,mm.diagonal.atencioncliente@mediamarkt.es,41.410061,2.215641,"10 de Enero; 3 de Julio; 15 de Agosto; 1 de Noviembre; 4, 6, 8, 11, 18 de Diciembre","Domingos (menos los indicados) y 6 de Enero; 12 de Febrero, 25 y 28 de Marzo; 16 de Mayo; 24 de Junio; 24 de Septiembre; 12 de Octubre; 25 y 26 de Diciembre.",
E246,28373,948,Barcelona - GavÃ ,http://specials.mediamarkt.es/tiendas/gava,"C.C. Barnasud - C/ Progreso, 69",08850,936735400,+34609147417,936735409,mm.gava.atencioncliente@mediamarkt.es,41.295987,2.008349,"3 y 10 de Enero; 3 de Julio; 15 de Agosto; 1, 4, 6, 8, 11, 14 y 18 de Diciembre.",1 y 6 de Enero; 25 y 28 de Marzo; 1 y 16 de Mayo; 24 y 29 de Junio; 11 de Septiembre; 12 de Octubre; 1 de Noviembre; 25 y 26 de Diciembre.,
E243,27357,979,Barcelona - L'Hospitalet,http://specials.mediamarkt.es/tiendas/hospitalet,"Ed. Hesperia Tower - Av. Mare de DÃ©u de Bellvitge, 3",08907,934128900,+34684365652,934128909,mm.hospitalet.atencioncliente@mediamarkt.es,41.346596,2.107953,"10 Enero; 15 de Agosto; 24 de Septiembre; 1 de Noviembre; 6, 8, 11, 18 de Diciembre.",Domingos y 6 de Enero; 12 de Febrero; 25 y 28 de Marzo; 16 de Mayo; 24 de Junio; 3 de Julio; 18 de Septiembre; 12 de Octubre; 1 de Mayo; 25 y 26 de Diciembre.,
E222,28352,955,Barcelona - La Maquinista,http://specials.mediamarkt.es/tiendas/maquinista,"C.C. La Maquinista - C/ Ciutat d'AsunciÃ³, s/n",08030,935042100,+34638553478,935042109,mm.maquinista.atencioncliente@mediamarkt.es,41.440882,2.198696,"3 y 10 de Enero; 3 de Julio; 15 de Agosto; 1 de Noviembre; 4, 6, 8, 11 y 18 de Diciembre.","Todos los domingos (salvo los indicados) y 6 de Enero, 12 de Febrero, 25 y 28 de Marzo, 16 de Mayo, 24 de Junio, 24 de Septiembre, 12 de Octubre, 25 y 26 de Diciembre.",24 y 31 de Diciembre. Horario de 10:00h a 20:00h
E239,28367,976,Barcelona - MatarÃ³,http://specials.mediamarkt.es/tiendas/mataro,"C.C. MatarÃ³ Parc - C/ Estrasburg, 5",08304,937413700,+34616855925,,mm.mataro.atencionalcliente@mediamarkt.es,41.555055,2.434093,"10 de Enero; 3 de Julio; 15 de Agosto; 1 de Noviembre;  4, 6, 8, 11, 18 de Diciembre","Domingos (Salvo indicados ) y 6 Enero;  25, 28 de Marzo;  1, 16 de Mayo; 24 de Junio; 27 y 28 de Julio; 11 de Septiembre; 12 de Octubre; 25 y 26 de Diciembre.",
E291,131952,1215,Barcelona - Parets del VallÃ¨s,http://specials.mediamarkt.es/tiendas/parets-del-valles,Carrer Comte Montemolin 16,08150,935918800 - 935918801,626.279.969,,servicioclienteparets@mediamarkt.es,41.558893,2.231548,"3 y 10 de enero; 3 de julio; 15 de agosto; 27 de noviembre; 4,6,8,11 y 18 de diciembre","Domingos (salvo indicados en abierto), 1, 6 y 25 de enero; 25 y 28 de marzo; 16 de mayo; 24 de junio; 25 de julio; 12 de octubre; 1 de noviembre; 25 y 26 de diciembre",24 y 31 de Diciembre. De 9:30h a 20:00h
E230,28359,965,Barcelona - Sant Cugat,http://specials.mediamarkt.es/tiendas/sant-cugat,"Avda. Via Augusta, 2-14",08174,935835200,626470218,935835209,belena@mediamarkt.es,41.483643,2.053726,"10 Enero; 3 Julio; 15 Agosto; 1 Noviembre; 4, 6, 8, 11, 18 Diciembre","Domingos (salvo los indicados) y 6 Enero; 3, 25, 28 Marzo; 16 Mayo; 24, 29 Junio; 12 Octubre; 25, 26 Diciembre",
E515,162952,371,Barcelona - Terrassa,http://specials.mediamarkt.es/tiendas/terrassa,"C. C. y de Ocio Parc VallÃ©s Avda. textil, s/n",08223,937365600,,,mm.terrassa.atencioncliente@mediamarkt.es,41.547450,2.026240,"3, 10 de Enero. 3 de Julio. 15 de agosto. 4, 6, 8, 11 y 18 de Diciembre. Horario de 10:00 a 22:00h."," Domingos (salvo indicados en abierto), 1 y 6 de Enero. 24, 25 y 28 de Marzo. 16 de Mayo. 24 de Junio. 4 de Julio.12 de octubre. 25 y 26 de Diciembre",24 y 31 de Diciembre. Horario de 10:00h a 20:00h
E250,28376,971,Bizkaia - Barakaldo,http://specials.mediamarkt.es/tiendas/barakaldo,"P.C. MegaPark - Av. de la Ribera, 5",48902,944184200,+34609907362,944184209,mm.barakaldo.atencioncliente@mediamarkt.es,43.289420,-3.002785,,"Todos los domingos. 6 de Enero; 25 de Marzo; 4 y 25 de Julio; 15 de Agosto; 21 de Septiembre; 7, 12 de Octubre; 1 de Noviembre; 6, 8 y 25 de Diciembre.",
E287,35851,369,Bizkaia - Bilbao - Bilbondo,http://specials.mediamarkt.es/tiendas/bilbondo,"C.C.Bilbondo - Barrio Zalabandi, s/n",48970,944878700,+34606237402,,mm.bilbondo.atencioncliente@mediamarkt.es,43.228170,-2.874416,,"Todos los domingos. 1 y 6 de Enero; 24, 25 y 28 de Marzo; 4 y 25 de Julio; 15 de Agosto; 7 y 12 de Octubre; 1 de Noviembre; 6 y 8 de Diciembre.",24 y 31 de Diciembre. Horario de 10:00h a 20:00h
E267,28388,940,CÃ¡diz - BahÃ­a de CÃ¡diz,http://specials.mediamarkt.es/tiendas/cadiz,"P.I. Tres Caminos - C/ Calamar, s/n",11510,956598600,,956598609,bahiadecadiz@mediamarkt.es,36.469184,-6.169676,"29 de Febrero; 3 de Julio; 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 11, 18 y 26 de Diciembre.",6 de Enero; 11 de Febrero; 24 y 25 de Marzo; 2 de Mayo; 6 de Junio; 1 de Noviembre; 6 y 8 de Diciembre,
E253,28378,934,CÃ¡diz - Jerez de la Frontera,http://specials.mediamarkt.es/tiendas/jerez-de-lafrontera,"PolÃ­g. Sur Guadabajaque Manzano Crta. N-IV A, Km.641",11408,956358700,,956358709,jimenezmi@mediamarkt.es,36.669576,-6.153089,"29 de Febrero; 3 de Julio; 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 11, 18 y 26 de Diciembre.",6 de Enero; 24 y 25 de Marzo; 2 de Mayo; 24 de Septiembre; 10 de Octubre; 1 de Noviembre; 6 y 8 de Diciembre.,
E261,28385,842,CÃ¡diz - Los Barrios,http://specials.mediamarkt.es/tiendas/los-barrios,"C.C.Las Marismas - C/ Cabotaje, 14",11379,956584700,,956584709,mm.losbarrios.atencioncliente@mediamarkt.es,36.188386,-5.433029,"29 de Febrero; 3 de Julio; 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 11, 18 y 26 de Diciembre.","1 y 6 de Enero; 24 y 25 de Marzo; 2 y 16 de Mayo; 18 de Julio; 1 de Noviembre; 4, 6, 8 y 25 de Diciembre.",24 y 31 de Diciembre de 10:00h a 20:00h.
E283,38351,365,Cantabria - Santander,http://specials.mediamarkt.es/tiendas/santander,"C.C. Nuevo Alisal - c/ JoaquÃ­n Rodrigo, 10",39011,942247300,+34646587311,942247309,mm.santander.atencion@mediamarkt.es,43.454954,-3.866059,"24 de Marzo; 17, 24, 25, 28 y 31 de Julio; 7, 14, 15, 21, 28 y 30 de Agosto; 27 de Noviembre; 18 y 26 de Diciembre.",Todos los domingos (salvo los indicados). 25 de Marzo; 25 y 28 de Julio; 15 y 30 de Agosto; 15 de Septiembre; 12 de Octubre; 1 de Noviembre; 6 y 8 de Diciembre.,"Horario domingos y festivos de apertura de Agosto (7, 14, 15, 21, 28 y 30 de Agosto): de 11h a 21h"
E234,28362,966,CastellÃ³n - CastellÃ³n,http://specials.mediamarkt.es/tiendas/castellon,"C.C. Ciudad del Transporte - C/ Grecia, 4",12006,964739600,+34626146510,964739609,rubiol@mediamarkt.es,39.976963,-0.069032,"10 de Enero; 20, 24 y 27 de Marzo; 15 de Agosto; 4, 8, 11 y 18 de Diciembre.","Domingos; 6 de Enero; 29 de Febrero; 19, 25 y 28 de Marzo; 29 de Junio; 12 de Octubre; 1 de Noviembre; 6, 25 y 26 de Diciembre.",
E259,28383,933,CÃ³rdoba - CÃ³rdoba,http://specials.mediamarkt.es/tiendas/cordoba,"C. C. Connecta - Avda. Libertador MatÃ­as Delgado, s/n",14013,957229800,+34639478548,,trenado@mediamarkt.es,37.858850,-4.786564,"3 de Enero, 29 de Febrero, 3 de Julio, 15 de Agosto, 4 de Septiembre, 12 de Octubre, 27 de Noviembre, 11, 18 y 26 de Diciembre de 10:00h a 22:00h.","1 y 6 de Enero; 28 de Febrero; 1 y 2 de Mayo; 8 de Septiembre; 24 de Octubre; 1 de Noviembre; 6, 8 y 25 de Diciembre.",
E248,28374,974,Gipuzkoa - Donosti,http://specials.mediamarkt.es/tiendas/donosti,"C.C. Garbera - TravesÃ­a de Garbera, 1",20015,943447700,+34619789739,943447709,mm.donosti.rrhh@mediamarkt.es,43.307894,-1.944590,,"Todos los domingos. 6 y 20 de Enero; 24, 25 y 28 de Marzo; 25 de Julio; 15 de Agosto; 9 de Septiembre; 7 y 12 de Octubre; 1 de Noviembre; 6 y 8 de Diciembre.",
E225,28355,958,Girona - Girona,http://specials.mediamarkt.es/tiendas/girona,"C/ Vitoria-Gazteiz, 8",17003,972010700,+34616270102,972010709,mm.girona.atencioncliente@mediamarkt.es,41.958510,2.812036,"10 de Enero; 3 de Julio; 15 de Agosto; 12 de Octubre; 4, 6, 8, 11, 18 de Diciembre.",Domingos y 6 de Enero; 25 y 28 de Marzo; 16 de Mayo; 24 de Junio; 25 de Julio; 29 de Octubre; 1 de Noviembre; 25 y 26 de Diciembre.,
E260,28384,980,Granada - Granada,http://specials.mediamarkt.es/tiendas/granada,"C. C. KinÃ©polis - C/Luis BuÃ±uel, s/n",18197,958899700,,958899709,blancom@mediamarkt.es,37.213628,-3.618799,"3 de Enero, 3 de Mayo, 5 de Julio, 15 de Agosto, 6 de Septiembre, 12 de Octubre, 2 de Noviembre, 7, 20 y 27 de Diciembre de 10:00h a 22:00h.","1 y 6 de Enero, 12 y 28 de Febrero, 2 y 3 de Abril, 1 de Mayo, 4 de Junio, 8 y 25 de Diciembre.",
E281,28394,363,Huelva - Huelva,http://specials.mediamarkt.es/tiendas/huelva,"C.C. Marismas de PolvorÃ­n - Nuevo Colombino, s/n",21007,959215300,+34608085614,959215309,mm.huelva.atencioncliente@mediamarkt.es,37.258374,-6.923516,"29 de Febrero; 3 de Julio; 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 11, 18 y 26 de Diciembre.","28 de Febrero; 24 y 25 de Marzo; 1 y 2 de Mayo; 3 de Agosto; 8 de Septiembre; 1 de Noviembre; 6, 8 y 25 de Diciembre.",24 y 31 de Diciembre. Horario de 10:00h a 20:00h
E271,102452,289,Illes Balears - Palma de Mallorca,http://specials.mediamarkt.es/tiendas/mallorca,Calle Bisbe Pere Puigdorfila 1 - Centre d'Oci Ocimax,07010,871203200,+34629442577,871203299,mm.palmademallorca.atencioncliente@mediamarkt.es,39.595255,2.648266,"10 de Enero; 24 de Marzo; 3 de Abril; 22 de Mayo; 5 de Junio; 3 y 24 de Julio; 7 y 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 4, 8 y 18 de Diciembre.","Domingos y 6 y 20 de Enero; 1 de Marzo; 25 y 28 de Marzo; 24 de Junio; 1 de Noviembre; 6, 25 y 26 de Diciembre.",
E242,28370,970,La Rioja - LogroÃ±o,http://specials.mediamarkt.es/tiendas/logrono,"C.C. Berceo - C/ LÃ©rida, 4",26004,941279300,,941279309,mm.logrono.atencioncliente@mediamarkt.es,42.462211,-2.420836,"10 de Enero;  24 y 28 de Marzo; 12 de Junio; 3 y 24 de Julio; 4, 11 y 18 de Diciembre.","Todos los domingos. 6 de Enero; 25 de Marzo; 9 y 11 de Junio; 25 de Julio; 15 de Agosto; 21 de Septiembre; 12 de Octubre; 1 de Noviembre; 6, 8 y 25 de Diciembre.",
E508,121954,294,Las Palmas - Las Arenas,http://specials.mediamarkt.es/tiendas/las-arenas,C. C. Las Arenas -Carretera El RincÃ³n S/N,35010,928495400,+34654100367,928495439,grancanaria.lasarenas@mediamarkt.es,28.127841,-15.447360,"Abrimos los domingos y festivos (De Octubre a Abril), 24 de Marzo; 2 y 30 de Mayo; 15 de Agosto; 4, 6, 8, 11 y 18 de Diciembre.",Domingos y festivos a partir del 30/04/2016,
E233,28361,962,Las Palmas - Las Palmas de Gran Canaria,http://specials.mediamarkt.es/tiendas/las-palmas-de-gran-canaria,"C.C. Siete Palmas - C/ Pintor Felo MonzÃ³n, 44",35019,928423400,,928423409,laspalmas@mediamarkt.es,28.096978,-15.456217,"9 de Febrero; 24 de Marzo; 2 y 30 de Mayo; 15 de Agosto; 25 de Septiembre; 4, 6, 8, 11 y 18 de Diciembre.",Domingos (menos los indicados); 6 de Enero; 25 de Marzo; 1 de Mayo; 24 de Junio; 8 de Septiembre; 12 de Octubre; 1 de Noviembre; 25 de Diciembre.,
E277,28392,291,Las Palmas - Telde,http://specials.mediamarkt.es/tiendas/telde,"C.C. Las Terrazas - AutovÃ­a G.C 1, Km.5,5 Salida Cortijo",35220,928578000,,928578009,jimenezanto@mediamarkt.es,28.027512,-15.393952,"24 de Marzo; 2 y 30 de Mayo; 15 de Agosto; 4, 6, 8, 11 y 18 de Diciembre.",Domingos y 6 de Enero; 9 de Febrero; 25 de Marzo; 1 de Mayo; 24 de Junio; 8 de Septiembre; 12 de Octubre; 1 de Noviembre; 25 de Diciembre.,
E245,28372,973,LeÃ³n - LeÃ³n,http://specials.mediamarkt.es/tiendas/leon,"C.C. Espacio LeÃ³n - Avda. del PaÃ­s LeonÃ©s, s/n",24010,987277300,,987277309,perezrobe@mediamarkt.es,42.612379,-5.596032,"10 de Enero; 13 y 14 de Marzo; 19 y 26 de Junio; 3 y 10 de Julio; 21 de Agosto; 2 de Octubre; 4, 11 y 18 de Diciembre.","24 de Junio; 15 de Agosto; 5, 12 de Octubre; 1 de Noviembre; 6, 8, 26 de Diciembre.",
E278,117452,292,Lleida - Lleida,http://specials.mediamarkt.es/tiendas/lleida,"Avda. President Josep Irla, 1",25001,973188600,+34639501905,,mm.lleida.suministros@mediamarkt.es,41.606799,0.632690,"10 de Enero; 3 de Julio; 15 de Agosto; 12 de Octubre; 4, 6, 8, 11 y 18 de Diciembre.","Domingos y 25, 28 de Marzo; 11 y 16 de Mayo; 24 de Junio; 29 de Septiembre; 25 y 26 de Diciembre.",24 y 31 de Diciembre. Horario de 09:30h a 20:00h.
E282,35852,364,Lugo - Lugo,http://specials.mediamarkt.es/tiendas/lugo,"Avda Infanta, 93",27003,982298500,+34628551712,,mm.lugo.atencioncliente@mediamarkt.es,43.037586,-7.568980,"03 y 10 de Enero; 24 de Marzo; 3 de Abril; 24 de Julio; 1 de Noviembre; 4, 8, 11 y 18 de Diciembre.",Todos los domingos (salvo los indicados). 6 de Enero; 9 de Febrero; 25 de Marzo; 17 de Mayo; 24 de Junio; 25 de Julio; 15 de Agosto; 5 y 12 de Octubre; 6 y 25 de Diciembre.,
E238,28366,964,Madrid - AlcalÃ¡ de Henares,http://specials.mediamarkt.es/tiendas/alala-de-henares,"P.C. La Dehesa - C/ Humanes, 11",28805,918783500,+34696932803,918783509,alcaladehenares@mediamarkt.es,40.505499,-3.327666,Todos los domingos del aÃ±o. 19 de Marzo. 2 y 3 de Abril. 2 de Mayo. 4 de Junio. 6 y 15 de Agosto. 9 y 12 de Octubre. 8 de Diciembre. Abiertos de 11:00h a 21:00h.,1 y 6 de Enero. 1 de Mayo. 25 de Diciembre.,
E223,28353,953,Madrid - AlcorcÃ³n,http://specials.mediamarkt.es/tiendas/alcorcon,"C/ Estambul, s/n",28922,912111300,+34606702206,912111309,mm.alcorcon.atencioncliente@mediamarkt.es,40.349070,-3.848248,Todos los domingos del aÃ±o.,1 y 6 de Enero. 1 de Mayo y 25 de Diciembre.,"4, 11, 18 y 25 de Enero. 6, 13, 20 y 27 de Diciembre. Abiertos de 10:00h a 22:00h"
E292,122952,1216,Madrid - Castellana,http://specials.mediamarkt.es/tiendas/castellana,Paseo de la Castellana 200,28046,913537200,,,gutierrezv@mediamarkt.es,40.462376,-3.689098,Domingos y festivos (salvo los indicados).,1 y 6 de Enero. 1 de Mayo. 25 de Diciembre.,
E256,92452,1219,Madrid - Collado Villalba,http://specials.mediamarkt.es/tiendas/colado-villalba,"Av. Juan Carlos I , 46 Cra CoruÃ±a KM 40,70 C. C. Planet Ocio",28400,918561500,,,mm.colladovillalba.atencioncliente@mediamarkt.es,40.633040,-4.004443,Domingos y festivos (salvo los indicados).,6 de Enero; 1 de Mayo; 25 de Diciembre.,El 24 y 31 abriremos de 10 a 20h. El 4 de Enero. Abiertos de 10:00h a 22:00h.
E226,27355,961,Madrid - Getafe,http://specials.mediamarkt.es/tiendas/getafe,"Calle Islas Cies, 1",28905,916248000,+34636686540,916248009,mm.getafe.atencioncliente@mediamarkt.es,40.281255,-3.749953,Domingos y festivos (salvo los indicados).,"1 y 6 de Enero, 1 de Mayo, 25 de Diciembre.",
E290,157952,1214,Madrid - Goya,http://specials.mediamarkt.es/tiendas/goya,C/ AlcalÃ¡ 106,28009,915297100,,,mm.goya.atencioncliente@mediamarkt.es,40.425358,-3.673920,Domingos y festivos de 11:00h a 21:00h (salvo los indicados).,"1 y 6 de Enero, 1 de Mayo, 25 de Diciembre.",
E512,121952,295,Madrid - Islazul,http://specials.mediamarkt.es/tiendas/islazul,Centro Comercial Islazul -C/ Calderilla 1,28054,914521500,+34620213094,,mm.islazul.atencioncliente@mediamarkt.es,40.364793,-3.737256,Domingos y festivos (salvo los indicados).,1 y 6 de Enero. 25 de Diciembre,
E273,27358,938,Madrid - LeganÃ©s,http://specials.mediamarkt.es/tiendas/leganes,"C.C. Parquesur - Avda. Gran BretaÃ±a, s/n",28916,914951100,,914951109,mm.leganes.atencioncliente@mediamarkt.es,40.340347,-3.736160,Domingos y festivos (salvo los indicados),"1 y 6 de Enero, 1 de Mayo, 25 de Diciembre.",
E232,28360,960,Madrid - Majadahonda,http://specials.mediamarkt.es/tiendas/majadahonda,"C.C. Millenium - C/ AzafrÃ¡n, 13",28220,916261600,,916261609,mm.majadahonda.cliente@mediamarkt.es,40.456939,-3.868032,Domingos y festivos (salvo los indicados).,1 y 6 de Enero; 1 de Mayo; 25 de Diciembre.,
E251,28851,887,Madrid - Plenilunio,http://specials.mediamarkt.es/tiendas/plenilunio,C/Arrastaria 20,28022,913019900,+34669171841,913019909,mm.plenilunio.atencioncliente@mediamarkt.es,40.445356,-3.586399,Todos los domingos y festivos de 11:00h a 22:00h. (salvo los indicados como cerrado),1 y 6 de Enero. 1 de Mayo. 25 de Diciembre.,
E255,28380,930,Madrid - Rivas Vaciamadrid,http://specials.mediamarkt.es/tiendas/rivas-vaciamadrid,C.C. Rivas Futura - A3 Salida Km 17 ,28529,917794900,+34606798321,917794909,mm.rivas.atencioncliente@mediamarkt.es,40.337110,-3.533444,Todos los domingos y festivos.,"1 y 6 de Enero, 1 de Mayo y 25 de Diciembre.",Diciembre y Enero (Excepto festivos de estos meses) de 10:00 a 22:00. Domingos y Festivos de Febrero a Noviembre de 11:00h a 21:00h. 24 y 31 de diciembre de 10:00h a 20:00h.
E001,28351,952,Madrid - San SebastiÃ¡n de los Reyes,http://specials.mediamarkt.es/tiendas/san-sebastian-de-los-reyes,C.C. Megapark - Ctra. Nacional A-1 Salida 19 ,28700,912030500,,912030509,bolarin@mediamarkt.es,40.545635,-3.613720,Todos los domingos y festivos de 10:00h a 22:00h.,1 y 6 de Enero. 1 de Mayo. 25 de Diciembre.,
E229,28358,967,Madrid - Villaverde,http://specials.mediamarkt.es/tiendas/villaverde,"C/ Santa Petronila, 1",28021,917741300,,917741309,enjamio@mediamarkt.es,40.351599,-3.692103,Domingos y festivos (salvo los indicados),"1, 6 de Enero. 1 de Mayo. 25 de Diciembre.",
E274,27359,936,MÃ¡laga - MÃ¡laga,http://specials.mediamarkt.es/tiendas/malaga,"C/ Explanada de la estaciÃ³n, s/n",29002,951940200,+34606598044,951940209,mm.malaga.atencioncliente@mediamarkt.es,36.711487,-4.431303,"3 de Enero; 29 de Febrero; 3 de Julio; 15 de Agosto; 4 de Septiembre; 12 de Octubre; 27 de Noviembre; 11, 18 y 26 de Diciembre de 2016.","1 de Enero; 24 y 25 de Marzo; 2 de Mayo; 19 de Agosto; 8 de Septiembre; 1 de Noviembre; 6, 8 y 25 de Diciembre de 2016.",24 y 31 de Diciembre. Abiertos de 10:00h a 20:00h.
